sentence,ours,tse,expert1,expert2,arbitration
A dataset pipeline that works well when reading data locally might become bottlenecked on I/O when reading data remotely because of the Time-to-first-byte: Reading the first byte of a file from remote storage can take orders of magnitude longer than from local storage.,"<Dataset, Datasets, dataset, datasets, data set, Data set>","Dataset pipeline, local storage, dataset pipeline, Time - to - first - byte, remote storage, first byte, FILE",dataset pipeline,dataset pipeline,dataset pipeline
Negative slope coefficient.,"<negative slope, Negative slope>",Negative slope coefficient,Negative slope coefficient,Negative slope coefficient,Negative slope coefficient
It is the number of elements you skip in the buffer to get to the next channel or row or column.,<next channel>,"OR, SKIP, IT, next channel",,,
get_walks_intersection_ops(...): Return the intersection of a forward and a backward walk.,,"AND, backward walk",,,backward walk
Defaults to tf.uint8.,,,,,
"Once you have finished preprocessing your dataset, you have a couple options to serialize your dataset before feeding it to your autoencoder network via an iterator.","<Autoencoders, autoencoder, Autoencoder, autoencoders>, <preprocessing, Preprocessed, Preprocess, Preprocessing, preproces, preprocessor, preprocessed, preprocessors, preprocess>, <Dataset, Datasets, dataset, datasets, data set, Data set>","autoencoder network, preprocessing, dataset, iterator, IT",dataset,autoencoder network,dataset;autoencoder network;preprocessing
When false any unknown operation is an error.,,"FALSE, ERROR, unknown operation",,,
"For classification problems, you generally want to use the softmax activation function, combined with the negative log likelihood / MCXENT (multi-class cross entropy).","<softmax, Softmax>, <Cross Entropy, cross entropy>, <activation function, Activation functions, activation functions, Activation function, Activation Functions>, <log likelihood>,<classification problem, classification problems>","USE, negative log likelihood, MCXENT, multi - class cross entropy, CLASSIFICATION, Negative Log likelihood, softmax activation function, Softmax activation function",classification problem;softmax; activation function;negative log likelihood;MCXENT,"softmax activation function,MCXENT",classification problem;negative log likelihood;MCXENT;multi-class cross entropy;softmax; activation function
class DNNLinearCombinedClassifier: An estimator for TensorFlow Linear and DNN joined classification models.,"<Tensorflow, tensorflow>, <deep neural network, DNN, Deep Neural Networks, deep neural networks, dnn>, <classification models, classification model>","class dnnlinearcombinedclassifier, DNN, TensorFlow linear, dnn, CLASSIFICATION","DNN, classification model","tensorflow,DNN,classification model",TensorFlow;DNN;classification model
"Internationalization support is bulit into Play framework, but this doesn't seem to function with a Java + Maven Basic idea: UI messages are available by specifying 2 values: (a) The ISO 639-1 language code, as a String (""en"", ""fr"", ""ja"" etc) See https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes.",,"etc, BY, VALUES, UI, Play framework, Internationalization support, FUNCTION, basic idea, Basic idea, THIS, ui, STRING, ISO 639 - 1 language code",,ISO 639-1,
"When a graph is run, this op name is looked up in a registry to REGISTER_OP() macro, like those in tensorflow/core/ops/nn_ops.cc.","<Tensorflow, tensorflow>, <op, one prediction, Op>","GRAPH, NAME, tensorflow, THIS, TENSORFLOW",graph,op,op
"The following is an example of an efficient sharding strategy within a complete pipeline: Args: num_shards: A tf.int64 scalar tf.Tensor, representing the number of shards operating in parallel.","<tensor filter, Tf, tf, TF>","args, scalar tf, complete pipeline, efficient sharding strategy",sharding strategy,sharding strategy,sharding strategy;
"If you have a Tensor :attr:`data` and just want to change its ``requires_grad`` flag, use :meth:`~torch.Tensor.requires_grad_` or :meth:`~torch.Tensor.detach` to avoid a copy.",,"OR, AND, USE",tensor,tensor,tensor
"Since each forward pass builds a dynamic computation graph, we can use normal Python control-flow operators like loops or conditional statements when defining the forward pass of the model.","<Computation Graphs, Computation Graph, computational graph, computational graphs, computation graph, computation graphs>","Control - flow, USE, OR, dynamic computation graph, control - flow, forward pass",forward pass,computation graph,forward pass;computation graph;
can you explain it in detail ?,,IT,,,
Created by Alex on 23/07/2017.,,BY,,,
"Args: inputs: 3-D float Tensor, size [max_time x batch_size x num_classes].","<float tensors, float Tensor, float tensor, float Tensors>","args, INPUTS, 3-D float",float tensor,tensor,float tensor
